Country,GA_Name,Formed,Description,Off_website,Address,Jurisdiction,wiki_infobox
Afghanistan,Afghan National Police,1709,"The Afghan National Police is the national police force of Afghanistan, serving as a single law enforcement agency all across the country. The agency is under the responsibility of Afghanistan's Ministry of Interior Affairs, headed by Wais Barmak. The ANP had 116,000 members in December 2018.",,"Kabul, Afghanistan",Jurisdictional structure,"{'coat of arms of the afghan national police (with english text)': 'Coat of Arms of the Afghan National Police (with English text)', 'flag of the afghan national police (with english text)': 'Flag of the Afghan National Police (with English text)', 'abbreviation': 'ANP', 'agency overview': 'Agency overview', 'formed': '1709', 'employees': '116,000 (December 2018)[1]', 'jurisdictional structure': 'Jurisdictional structure', 'national agency': 'Afghanistan', 'operations jurisdiction': 'Afghanistan', 'general nature': 'Local civilian police', 'operational structure': 'Operational structure', 'headquarters': 'Kabul, Afghanistan', 'agency executive': 'Wais Barmak, Minister of Interior Affairs'}"
Afghanistan,Ministry of Energy and Water,,The Afghan Ministry of Energy and Water is a ministry of the government of Afghanistan. Following the U.S. invasion of Afghanistan the ministry had the task of co-ordinating an effort to reintroduce power to areas of Afghanistan that had been cut off.,http://mew.gov.af/en,Darul Aman Road Kabul Afghanistan,Government of Afghanistan,"{'ministry of energy and water': 'Ministry of Energy and Water', 'agency overview': 'Agency overview', 'jurisdiction': 'Government of Afghanistan', 'headquarters': 'Darul Aman Road Kabul Afghanistan', 'minister responsible': 'Minister Ali Ahmad Osmani', 'website': 'http://mew.gov.af/en'}"
Afghanistan,National Directorate of Security,2002, 18 years ago,The National Directorate of Security is the primary intelligence agency of Afghanistan.,Official website (registered but offline),,2002
Afghanistan,Special Inspector General for Afghanistan Reconstruction,2008,Special Inspector General for Afghanistan Reconstruction is the U.S. government's leading oversight authority on Afghanistan reconstruction.,www.sigar.mil,"Crystal City, Arlington, Virginia",,"{nan: nan, 'Agency overview': 'Agency overview', 'Formed': '2008', 'Jurisdiction': 'United States Government', 'Headquarters': 'Crystal City, Arlington, Virginia', 'Employees': '197 (October 2014)', 'Agency executive': 'John F. Sopko, Special Inspector General', 'Website': 'www.sigar.mil'}"
Afghanistan,Ministry of Justice,,Current and past governments of Afghanistan have included a Minister of Justice in the Afghan cabinet.,http://moj.gov.af/en,"Pashtunistan Watt Kabul, Afghanistan",Government of Afghanistan,"{'jurisdiction': 'Government of Afghanistan', 'headquarters': 'Pashtunistan Watt Kabul, Afghanistan', 'minister responsible': 'Abdul Baseer Anwar', 'website': 'http://moj.gov.af/en'}"
Afghanistan,Central Statistical Organization,"May 2, 1951",The Central Statistics Organization is the Afghan government agency charged with collecting and maintaining statistical data for Afghanistan.,mospi.nic.in/central-statistics-office-cso-0,"New delhi, India",Government of India,"{'formed': 'May\xa02,\xa01951', 'preceding agencies': 'Central Statistical OrganizationCentral Statistical Institute', 'jurisdiction': 'Government of India', 'headquarters': 'New delhi, India', 'minister responsible': 'Rao Inderjith Singh, Minister of Statistics and Programme Implementation', 'parent department': 'Ministry of Statistics and Programme Implementation', 'website': 'mospi.nic.in/central-statistics-office-cso-0'}"
Afghanistan,Ministry of Higher Education,,"The Afghan Ministry of Higher Education is the Government ministry that is in charge of regulating, expanding and developing Afghanistan's institutions of higher education.",http://www.mohe.gov.af/?lang=en,"Kart-a-4, Kabul, Afghanistan",Government of Afghanistan,"{'jurisdiction': 'Government of Afghanistan', 'headquarters': 'Kart-a-4, Kabul, Afghanistan', 'minister responsible': 'A. T. Balakarzai', 'website': 'http://www.mohe.gov.af/?lang=en'}"
Afghanistan,KHAD,,"Khadamat-e Aetla'at-e Dawlati translates directly to English as: ""State Intelligence Agency"". However, this phrase is more precisely translated as ""State Information Services"", Khadamat-e Aetela'at-e ...",,,,
Afghanistan,Da Afghanistan Bank,,"Da Afghanistan Bank is the central bank of Afghanistan. It regulates all banking and money handling operations in Afghanistan. The bank currently has 46 branches throughout the country, with five of these situated in Kabul, where the headquarters is also based.",www.dab.gov.af,Kabul,,"{nan: nan, 'Headquarters': 'Kabul', 'Established': '1939', 'Ownership': '100% state ownership[1]', 'Governor': 'Ajmal Ahmadi (acting)', 'Central\xa0bank\xa0of': 'Afghanistan', 'Currency': 'Afghan afghaniAFN\xa0(ISO 4217)', 'Reserves': '6 110 million USD[1]', 'Website': 'www.dab.gov.af'}"
Afghanistan,Afghan Local Police,2010,"The Afghan Local Police is a US-UK sponsored local law enforcement agency, defence force and militia in Afghanistan as part of the Afghan Ministry of Interior Affairs.",,,Jurisdictional structure,"{'abbreviation': 'ALP', 'agency overview': 'Agency overview', 'formed': '2010', 'employees': '19,600 (February 2013)[1]', 'jurisdictional structure': 'Jurisdictional structure', 'operations jurisdiction': 'Afghanistan'}"
Afghanistan,Ministry of Commerce and Industry of Afghanistan,,Current and past governments of Afghanistan have included a Minister of Commerce in the Afghan cabinet.,,,,
Afghanistan,Cabinet of Afghanistan,,"The Cabinet of Afghanistan is made of the heads of all the government ministries. The president selects the members of cabinet with the approval of the National Assembly. Candidates for a ministerial position must be an Afghan citizen, be at least 35 years of age and have higher education.",,,,
Afghanistan,Ministry of Hajj and Religious Affairs,,Past and current governments of Afghanistan have included a minister of Haj and Religious Affairs in their Cabinet. The Current Acting Minister of Haj and Religious Affairs is Dr. Daiulhaq Abid.,,,,
Afghanistan,Bureau of South and Central Asian Affairs,2006, 14 years ago[1],The Bureau of South and Central Asian Affairs is an agency within the United States Department of State that is responsible for the U.S. government's relations with countries in the South and Central Asian region.,www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-south-and-central-asian-affairs/,,2006
Afghanistan,Afghan Border Force,,"The Afghan Border Police secure Afghanistan's 5,529 kilometres border with neighboring countries and all its international airports. It also administers immigration services such as checking documents of foreigners entering the country or deporting them.",,,,
Afghanistan,Afghan Public Protection Force,,"The Afghan Public Protection Force is a Government of the Islamic Republic of Afghanistan security service provider intended to protect people, infrastructure, facilities and construction projects.",www.appf.gov.af,"Kabul, Afghanistan",,"{'appf logo': 'APPF Logo', 'active': '2009-Present', 'country': 'Afghanistan', 'part\xa0of': 'Ministry of Interior', 'headquarters': 'Kabul, Afghanistan', 'website': 'www.appf.gov.af', 'insignia': 'Insignia', 'abbreviation': 'APPF'}"
Afghanistan,Afghan National Civil Order Police,,"Afghan National Civil Order Police is a special police unit developed in July 2006 by Colonel Jack Stankiewicz, US Army, Police Reformation Directorate, CSTC-A of the law enforcement agency in Afghanistan. It is a branch of the Afghan National Police and has stations in major cities and towns across Afghanistan.",,,,
Afghanistan,Afghanistan Investment Support Agency,,"Afghanistan Investment Support Agency was established in September 2003 as an agency that is charged with the responsibility to facilitate registration, licensing and promotion of all investments in Afghanistan. Its purpose is to attract industrial and developmental investment.",,,,
Afghanistan,Inter-Services Intelligence,"January 1, 1948; 72 years ago","The Inter-Services Intelligence is the premier intelligence agency of Pakistan, operationally responsible for gathering, processing, and analyzing national security information from around the world.",,"Aabpara, Islamabad, Pakistan[1]33°42′14.3″N 73°04′47.0″E﻿ / ﻿33.703972°N 73.079722°E",,"{'بین الخدماتی استخبارات': 'بین الخدماتی استخبارات', 'logo of the inter-services intelligence': 'Logo of the Inter-Services Intelligence', 'intelligence agency overview': 'Intelligence agency overview', 'formed': 'January\xa01, 1948; 72\xa0years ago', 'headquarters': 'Aabpara, Islamabad, Pakistan[1]33°42′14.3″N 73°04′47.0″E\ufeff / \ufeff33.703972°N 73.079722°E', 'annual budget': 'Classified', 'intelligence agency executive': 'Lt. Gen. Faiz Hameed[2], Director-General of ISI', 'child intelligence agency': 'Covert Action Division'}"
Afghanistan,Afghan Threat Finance Cell,,"The Afghan Threat Finance Cell is a multi-agency intelligence organization, in Afghanistan.The organization was created in 2008.The United States' Drug Enforcement Administration is the lead agency in the organization.The co-deputy agencies are the United States Treasury and the United States Department of Defense.",,,,
Albania,Institute of Statistics,,"The Institute of Statistics, is the statistical agency of Albania. It was established in 1940.The first statistical office in Albania was opened in 1924. At the time it collected economic data on the Ministry of Public Affairs and Agriculture of Albania.",www.instat.gov.al,,,"{nan: nan, 'Established': 'April\xa08, 1940; 80\xa0years ago', 'Director General': 'Delina Ibrahimaj', 'Owner': 'Government of Albania', 'Location': 'Tirana, Albania', 'Address': 'Bul.""Zhan D\'Ark"", Nr. 3 Tiranë, Albania', 'Website': 'www.instat.gov.al'}"
Albania,National Diaspora Agency,22 November 2017,The National Diaspora Agency is a state body within the Albanian Government responsible for relations with the Diaspora.,akd.gov.al,Tirana,Albania,"{'agjencia kombëtare e diasporës': 'Agjencia Kombëtare e Diasporës', 'official logo': 'Official logo', 'agency overview': 'Agency overview', 'formed': '22 November 2017', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'website': 'akd.gov.al'}"
Albania,National Food Authority,2009,The National Food Authority is a government agency under the supervision of the Albanian Ministry of Agriculture and Rural Development. The agency was created as an effort to increase the oversight and control of food quality and safety in the country.,www.aku.gov.al,Tirana,Albania,"{'autoriteti kombëtar i ushqimit': 'Autoriteti Kombëtar i Ushqimit', 'official logo': 'Official logo', 'food agency overview': 'Food agency overview', 'formed': '2009', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'food agency executive': 'Isuf Shehu, Director General', 'website': 'www.aku.gov.al'}"
Albania,Albanian Police,"13 January, 1913",The Albanian State Police is the national police and law enforcement agency which operates throughout the Republic of Albania. The collapse of the Communist system and the establishment of political pluralism post-1991 brought important changes to the structure of the Albanian Police.,Website,"Bajram Curri Boulevard, Tirana",Jurisdictional structure,"{'patch of the state police': 'Patch of the State Police', 'agency overview': 'Agency overview', 'formed': '13 January, 1913', 'preceding agency': ""*Gendarmerie (1925–1939) People's Police (1945–1991)"", 'employees': '~ 10 958 [1][2]', 'jurisdictional structure': 'Jurisdictional structure', 'national agency': 'Albania', 'operations jurisdiction': 'Albania', 'size': '28,748 km2', 'population': '3038594', 'governing body': 'Government of Albania', 'constituting instrument': 'Law on ""State Police""', 'general nature': 'Local civilian police', 'operational structure': 'Operational structure', 'overviewed by': 'Ministry of Internal Affairs', 'headquarters': 'Bajram Curri Boulevard, Tirana', 'minister responsible': 'Sandër Lleshaj, Minister', 'agency executive': 'Ardi Veliu, Director General', 'website': 'Website', 'official website': 'Official website'}"
Albania,Institute of Forensic Medicine,2001[1],"The Albanian Institute of Forensic Medicine is the national forensics institute of Albania organized under the Ministry of Justice, responsible for forensic psychiatry, forensic chemistry, forensic medicine and forensic genetics.",mjeksialigjore.gov.al,Tirana,Government of Albania,"{'instituti i mjekësisë ligjore': 'Instituti i Mjekësisë Ligjore', 'the coat of arms of the albanian institute of forensic medicine': 'The coat of arms of the Albanian Institute of Forensic Medicine', 'agency overview': 'Agency overview', 'formed': '2001[1]', 'jurisdiction': 'Government of Albania', 'headquarters': 'Tirana', 'agency executive': 'Bledar Xhemali, Director General', 'parent agency': 'Ministry of Justice', 'website': 'mjeksialigjore.gov.al'}"
Albania,Quality Assurance Agency of Higher Education,,"The Quality Assurance Agency of Higher Education is an independent public agency responsible for promoting and ensuring the quality of higher education in Albania. ASCAL conducts a thorough, objective and independent evaluation of all higher education institutions and the study programs they have to offer.",www.ascal.al,Tirana,Albania,"{'agjencia e sigurimit të cilësisë në arsimin e lartë': 'Agjencia e Sigurimit të Cilësisë në Arsimin e Lartë', 'official logo': 'Official logo', 'accreditation agency overview': 'Accreditation agency overview', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'accreditation agency executive': 'PhD. Elvin Gjevori, Director', 'website': 'www.ascal.al'}"
Albania,General Directorate of Prisons,,The General Directorate of Prisons is an institution in Albania under the umbrella of the Ministry of Justice.,www.dpbsh.gov.al,Tirana,Albania,"{'drejtoria e përgjithshme e burgjeve': 'Drejtoria e Përgjithshme e Burgjeve', 'prisons directorate overview': 'Prisons directorate overview', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'prisons directorate executive': 'Stefan Çipa, Director General', 'website': 'www.dpbsh.gov.al'}"
Albania,Ministry of Health and Social Protection,1944,"The Ministry of Health and Social Protection is a department of the Albanian Government, charged with the responsibility to oversee the running of Albania's healthcare system, including supporting ...",Official Website,"Tirana, Albania",,"{'Ministria e Shëndetësisë dhe Mbrojtjes Sociale': 'Ministria e Shëndetësisë dhe Mbrojtjes Sociale', nan: nan, 'Department overview': 'Department overview', 'Formed': '1944', 'Jurisdiction': 'Government of Albania', 'Headquarters': 'Tirana, Albania', 'Minister responsible': 'Ogerta Manastirliu', 'Website': 'Official Website'}"
Albania,National Agency of Natural Resources,9 August 2006,"The National Agency of Natural Resources is a government agency that supervises and monitors the use of natural resources in Albania. Its purpose is to maintain the interests of the State in the fields of hydrocarbons, minerals and energy.",www.akbn.gov.al,Tirana,Albania,"{'agjencia kombëtare e burimeve natyrore': 'Agjencia Kombëtare e Burimeve Natyrore', 'official logo': 'Official logo', 'natural resources agency overview': 'Natural Resources agency overview', 'formed': '9 August 2006', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'natural resources agency executive': 'Adrian Bylyku, Executive Director', 'website': 'www.akbn.gov.al'}"
Albania,SHISH,,"The State Intelligence Service, commonly known by its acronym SHISH, is the primary intelligence agency of Albania. It was preceded by SHIK.",,,,"{'municipal unit': 'Municipal unit', '.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0%;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}shosh': '.mw-parser-output .locmap .od{position:absolute}.mw-parser-output .locmap .id{position:absolute;line-height:0}.mw-parser-output .locmap .l0{font-size:0%;position:absolute}.mw-parser-output .locmap .pv{line-height:110%;position:absolute;text-align:center}.mw-parser-output .locmap .pl{line-height:110%;position:absolute;top:-0.75em;text-align:right}.mw-parser-output .locmap .pr{line-height:110%;position:absolute;top:-0.75em;text-align:left}.mw-parser-output .locmap .pv>div{display:inline;padding:1px}.mw-parser-output .locmap .pl>div{display:inline;padding:1px;float:right}.mw-parser-output .locmap .pr>div{display:inline;padding:1px;float:left}Shosh', 'coordinates: 42°15′n 19°46′e\ufeff / \ufeff42.250°n 19.767°ecoordinates: 42°15′n 19°46′e\ufeff / \ufeff42.250°n 19.767°e': 'Coordinates: 42°15′N 19°46′E\ufeff / \ufeff42.250°N 19.767°ECoordinates: 42°15′N 19°46′E\ufeff / \ufeff42.250°N 19.767°E', 'country': 'Albania', 'county': 'Shkodër', 'municipality': 'Shkodër', 'population\xa0(2011)': 'Population\xa0(2011)', '•\xa0municipal unit': '304', 'time zone': 'UTC+1 (CET)', '•\xa0summer (dst)': 'UTC+2 (CEST)'}"
Albania,Ministry of Defence,4 December 1912,"The Ministry of Defence is a department of the Albanian Government, in charge of the formation and implementation of national security and ordering, coordinating and carrying out the general guidelines of the Cabinet about the defence policy and is the headquarters of the Military of Albania.",Official Website,"Tirana, Albania",,"{'Ministria e Mbrojtjës': 'Ministria e Mbrojtjës', 'Coat of Arms of the Ministry': 'Coat of Arms of the Ministry', nan: nan, 'Department overview': 'Department overview', 'Formed': '4 December 1912', 'Jurisdiction': 'Cabinet', 'Headquarters': 'Tirana, Albania', 'Minister responsible': 'Olta Xhaçka', 'Website': 'Official Website'}"
Albania,National Tourism Agency,,"The National Tourism Agency is a government agency under the supervision of the Albanian Ministry of Tourism and Environment. The main task of the agency is to promote Albania as a tourist destination in the Mediterranean Basin, Europe and around the world.",www.akt.gov.al,Tirana,Albania,"{'agjencia kombëtare e turizmit': 'Agjencia Kombëtare e Turizmit', 'official logo': 'Official logo', 'tourism agency overview': 'Tourism agency overview', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'tourism agency executive': 'Albin Gega, Director General', 'website': 'www.akt.gov.al'}"
Albania,Border and Migration Police,"25 February, 1929",The Border and Migration Police is a law enforcement entity under the supervision of the Albanian State Police. It is tasked to oversee and control the transiting of goods and persons across the country's territory.,,Tirana,Jurisdictional structure,"{'official patch': 'Official patch', 'agency overview': 'Agency overview', 'formed': '25 February, 1929', 'jurisdictional structure': 'Jurisdictional structure', 'operations jurisdiction': 'Albania', 'governing body': 'Albanian Police', 'operational structure': 'Operational structure', 'headquarters': 'Tirana', 'agency executive': 'Director, Eduart Merkaj[1]'}"
Albania,Albanian Telegraphic Agency,1912, 108 years ago,"The Albanian Telegraphic Agency is the official news entity of the Albanian government. It publishes news in the following languages: Albanian, English and French.",Official Website,,1912
Albania,Bank of Albania,,"The Bank of Albania is the central bank of Albania. Its main headquarters are in Tirana, and the bank also has five other branches located in Shkodër, Elbasan, Gjirokastër, Korçë, and Lushnjë.",http://www.bankofalbania.org/,Tirana,,"{nan: nan, 'Headquarters': 'Tirana', 'Established': '2 September 1925[1][2]', 'Ownership': '100% state ownership[3]', 'Governor': 'Gent Sejko', 'Central\xa0bank\xa0of': 'Albania', 'Currency': 'Albanian LekALL\xa0(ISO 4217)', 'Reserves': '2 890 million USD[3]', 'Website': 'http://www.bankofalbania.org/'}"
Albania,Ministry of Tourism and Environment,,"The Ministry of Tourism and Environment is a department of the Albanian Government in charge of regulation concerning the environment, the sustainable use of natural resources, promotion of renewable ...",Official Website,"Tirana, Albania",,"{'Ministria e Turizmit dhe Mjedisit': 'Ministria e Turizmit dhe Mjedisit', nan: nan, 'Department overview': 'Department overview', 'Jurisdiction': 'Government of Albania', 'Headquarters': 'Tirana, Albania', 'Minister responsible': 'Blendi Klosi', 'Website': 'Official Website'}"
Albania,Ministry of Infrastructure and Energy,,"The Ministry of Infrastructure and Energy is a department of the Albanian Government, responsible for national climate policy and international cooperation on climate change, as well as energy issues, meteorology and national geological surveys, electricity, water, wastewater services and industry in Albania.",Official Website,"Dëshmorët e Kombit Boulevard Tirana, Albania",,"{'Ministria e Infrastrukturës dhe Energjisë': 'Ministria e Infrastrukturës dhe Energjisë', nan: nan, 'Department overview': 'Department overview', 'Jurisdiction': 'Government of Albania', 'Headquarters': 'Dëshmorët e Kombit Boulevard Tirana, Albania', 'Minister responsible': 'Belinda Balluku', 'Website': 'Official Website'}"
Albania,National Environment Agency,29 January 2014,The National Environment Agency is a government agency in Albania under the supervision of the Ministry of Tourism and Environment. Before 2014 the agency was known as The Environment and Forestry Agency.,www.akm.gov.al,Tirana,Albania,"{'agjencia kombëtare e mjedisit': 'Agjencia Kombëtare e Mjedisit', 'logo of national environment agency': 'Logo of National Environment Agency', 'environment agency overview': 'Environment agency overview', 'formed': '29 January 2014', 'preceding environment agency': 'Environment and Forestry Agency', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'environment agency executive': 'Edison Konomi[1], Director General', 'website': 'www.akm.gov.al'}"
Albania,Archeological Service Agency,21 May 2008,"The Archeological Service Agency is a government agency under the supervision of the Albanian Ministry of Culture. The agency's role is to focus on the protection of the archeological heritage in Albania, affected by natural disasters, informal construction activity and archeological findings.",www.asha.gov.al,Tirana,Albania,"{'agjencia e shërbimit arkeologjik': 'Agjencia e Shërbimit Arkeologjik', 'official logo': 'Official logo', 'archeological agency overview': 'Archeological agency overview', 'formed': '21 May 2008', 'jurisdiction': 'Albania', 'headquarters': 'Tirana', 'archeological agency executive': 'Roland Olli, Director General', 'website': 'www.asha.gov.al'}"
